,Host,populationTrend
774,Acerodon leucotis,Decreasing
775,Plecotus sacrimontis,Stable
776,Acerodon jubatus,Decreasing
777,Acerodon celebensis,Decreasing
778,Platalina genovensium,Unknown
779,Leptonycteris yerbabuenae,Decreasing
780,Acerodon mackloti,Decreasing
781,Vampyressa thyone,Unknown
782,Thoopterus nigrescens,Unknown
783,Baeodon alleni,Stable
784,Rhogeessa genowaysi,Decreasing
785,Pipistrellus raceyi,Unknown
786,Rhinolophus formosae,Decreasing
787,Idionycteris phyllotis,Stable
788,Rhinolophus siamensis,Unknown
789,Pipistrellus pygmaeus,Unknown
790,Myotis occultus,Stable
791,Rhinolophus thomasi,Unknown
792,Rhinolophus trifoliatus,Decreasing
793,Mimon cozumelae,Stable
794,Rhinolophus virgo,Stable
795,Otomops madagascariensis,Unknown
796,Rhinolophus yunanensis,Unknown
797,Hipposideros boeadii,Unknown
798,Rhinolophus stheno,Stable
799,Rhinolophus subbadius,Decreasing
800,Rhinolophus subrufus,Unknown
801,Rhinolophus swinnyi,Unknown
802,Ariteus flavescens,Unknown
803,Kerivoula krauensis,Decreasing
804,Dobsonia crenulata,Stable
805,Rhinolophus keyensis,Unknown
806,Rhinolophus osgoodi,Stable
807,Natalus major,Decreasing
808,Rhinolophus pearsonii,Unknown
809,Rhinolophus mitratus,Unknown
810,Rhinolophus megaphyllus,Unknown
811,Ia io,Decreasing
812,Rhinolophus nereis,Unknown
813,Rhinolophus shameli,Stable
814,Myotis aurascens,Stable
815,Rhinolophus sedulus,Decreasing
816,Rhinolophus simulator,Decreasing
817,Rhinolophus silvestris,Decreasing
818,Rhinolophus rex,Decreasing
819,Ardops nichollsi,Unknown
820,Rhinolophus pusillus,Stable
821,Murina harrisoni,Unknown
822,Rhinolophus rufus,Decreasing
823,Hypsugo alaschanicus,Unknown
824,Rhinolophus rouxii,Unknown
825,Artibeus lituratus,Stable
826,Artibeus jamaicensis,Stable
827,Thyroptera devivoi,Unknown
828,Rousettus linduensis,Unknown
829,Artibeus inopinatus,Unknown
830,Artibeus hirsutus,Stable
831,Plecotus ognevi,Unknown
832,Enchisthenes hartii,Unknown
833,Rhinopoma macinnesi,Unknown
834,Rhinopoma muscatellum,Unknown
835,Dermanura watsoni,Stable
836,Dermanura tolteca,Unknown
837,Artibeus planirostris,Stable
838,Dermanura phaeotis,Stable
839,Artibeus obscurus,Unknown
840,Miniopterus macrocneme,Unknown
841,Rhinophylla fischerae,Stable
842,Rhinophylla alethina,Unknown
843,Platyrrhinus masu,Unknown
844,Rhinonicteris aurantia,Unknown
845,Pteralopex flanneryi,Decreasing
846,Artibeus fraterculus,Decreasing
847,Rhinopoma microphyllum,Stable
848,Rhinopoma hardwickii,Stable
849,Dermanura glauca,Unknown
850,Artibeus concolor,Stable
851,Artibeus fimbriatus,Stable
852,Hipposideros scutinares,Decreasing
853,Sturnira mistratensis,Unknown
854,Dermanura azteca,Unknown
855,Dermanura cinerea,Unknown
856,Artibeus amplus,Unknown
857,Dermanura anderseni,Unknown
858,Rhinophylla pumilio,Unknown
859,Rousettus celebensis,Decreasing
860,Kerivoula kachinensis,Stable
861,Anoura fistulata,Unknown
862,Rousettus amplexicaudatus,Unknown
863,Rousettus lanosus,Decreasing
864,Platyrrhinus ismaeli,Decreasing
865,Plecotus macrobullaris,Decreasing
866,Centronycteris maximiliani,Unknown
867,Boneia bidens,Decreasing
868,Rousettus madagascariensis,Decreasing
869,Myotis davidii,Unknown
870,Erophylla bombifrons,Stable
871,Nyctophilus walkeri,Stable
872,Rhinolophus montanus,Unknown
873,Nyctophilus sherrini,Decreasing
874,Carollia sowelli,Stable
875,Saccolaimus saccolaimus,Stable
876,Lasiurus xanthinus,Stable
877,Eptesicus gobiensis,Unknown
878,Saccolaimus peli,Unknown
879,Saccopteryx bilineata,Unknown
880,Tonatia saurophila,Stable
881,Rhinolophus sinicus,Unknown
882,Saccopteryx gymnura,Unknown
883,Saccopteryx canescens,Unknown
884,Arielulus circumdatus,Unknown
885,Saccopteryx leptura,Unknown
886,Nycticeinops schlieffeni,Unknown
887,Myotis annamiticus,Unknown
888,Emballonura serii,Decreasing
889,Cormura brevirostris,Unknown
890,Saccolaimus flaviventris,Decreasing
891,Nyctimene vizcaccia,Unknown
892,Rhogeessa tumida,Stable
893,Nyctimene major,Unknown
894,Rhogeessa mira,Stable
895,Nyctimene cephalotes,Unknown
896,Rhogeessa parvula,Stable
897,Baeodon gracilis,Unknown
898,Nyctimene albiventer,Stable
899,Laephotis wintoni,Unknown
900,Rhogeessa minutilla,Decreasing
901,Laephotis namibensis,Stable
902,Nyctimene sanctacrucis,Unknown
903,Nyctimene masalai,Unknown
904,Nyctimene minutus,Decreasing
905,Nyctimene malaitensis,Unknown
906,Hipposideros orbiculus,Decreasing
907,Nyctimene rabori,Decreasing
908,Scotorepens sanborni,Stable
909,Scotorepens orion,Unknown
910,Scoteanax rueppellii,Stable
911,Nyctophilus howensis,
912,Nyctophilus heran,Unknown
913,Centurio senex,Stable
914,Nyctophilus microtis,Stable
915,Myotis dinellii,Stable
916,Platyrrhinus albericoi,Unknown
917,Nyctophilus gouldi,Decreasing
918,Nyctophilus geoffroyi,Stable
919,Micronycteris matses,Unknown
920,Nyctophilus arnhemensis,Stable
921,Nyctinomops femorosaccus,Stable
922,Nyctinomops aurispinosus,Unknown
923,Rhynchonycteris naso,Unknown
924,Nyctinomops laticaudatus,Unknown
925,Lasiurus pfeifferi,Unknown
926,Myotis bucharensis,Unknown
927,Laephotis angolensis,Unknown
928,Laephotis botswanae,Unknown
929,Rhogeessa hussoni,Unknown
930,Pipistrellus hanaki,Decreasing
931,Dyacopterus brooksi,Decreasing
932,Natalus mexicanus,Stable
933,Dobsonia anderseni,Stable
934,Platyrrhinus matapalensis,Decreasing
935,Nycteris grandis,Decreasing
936,Nycteris hispida,Stable
937,Nycteris intermedia,Decreasing
938,Nycteris macrotis,Unknown
939,Nycteris major,Unknown
940,Nycticeius cubanus,Unknown
941,Nycteris nana,Unknown
942,Nycteris thebaica,Unknown
943,Pteropus cognatus,Decreasing
944,Nycteris tragata,Decreasing
945,Nycteris woodi,Decreasing
946,Chaerephon jobimena,Unknown
947,Scotorepens balstoni,Decreasing
948,Scotorepens greyii,Stable
949,Nycticeius humeralis,Stable
950,Nyctalus lasiopterus,Decreasing
951,Miniopterus sororculus,Unknown
952,Nyctalus noctula,Unknown
953,Nyctalus leisleri,Unknown
954,Nyctalus aviator,Decreasing
955,Nyctalus montanus,Decreasing
956,Rhinolophus madurensis,Decreasing
957,Nycteris arge,Stable
958,Murina hilgendorfi,Unknown
959,Nycteris gambiensis,Unknown
960,Myotis rufopictus,Unknown
961,Nycteris aurita,Unknown
962,Histiotus magellanicus,Unknown
963,Chaerephon solomonis,Decreasing
964,Chaerephon russatus,Unknown
965,Mops pusillus,Decreasing
966,Lasiurus degelidus,Unknown
967,Chaerephon pumilus,Unknown
968,Chaerephon plicatus,Unknown
969,Chaerephon nigeriae,Unknown
970,Chaerephon major,Stable
971,Miniopterus newtoni,Unknown
972,Chaerephon johorensis,Decreasing
973,Chaerephon jobensis,Stable
974,Chaerephon gallagheri,Unknown
975,Chaerephon chapini,Unknown
976,Noctilio leporinus,Unknown
977,Rhogeessa io,Unknown
978,Noctilio albiventris,Stable
979,Chaerephon bregullae,Decreasing
980,Chaerephon bivittatus,Stable
981,Chaerephon bemmeleni,Unknown
982,Chaerephon ansorgei,Stable
983,Chaerephon aloysiisabaudiae,Decreasing
984,Platyrrhinus nigellus,Unknown
985,Kerivoula papillosa,Stable
986,Xeronycteris vieirai,Unknown
987,Phoniscus papuensis,Unknown
988,Kerivoula pellucida,Decreasing
989,Kerivoula phalaena,Unknown
990,Kerivoula lanosa,Unknown
991,Lyroderma lyra,Unknown
992,Kerivoula minuta,Decreasing
993,Kerivoula muscina,Unknown
994,Megaderma spasma,Unknown
995,Kerivoula myrella,Decreasing
996,Cyttarops alecto,Unknown
997,Kerivoula picta,Decreasing
998,Kerivoula smithii,Unknown
999,Kerivoula whiteheadi,Unknown
1000,Notopteris macdonaldi,Decreasing
1001,Lonchophylla chocoana,Unknown
1002,Centronycteris centralis,Unknown
1003,Megaerops ecaudatus,Stable
1004,Epomophorus anselli,Unknown
1005,Megaerops niphanae,Stable
1006,Scotophilus borbonicus,Unknown
1007,Scotoecus pallidus,Unknown
1008,Scotoecus hirundo,Unknown
1009,Scotoecus albofuscus,Unknown
1010,Eumops underwoodi,Unknown
1011,Macrophyllum macrophyllum,Unknown
1012,Eumops maurus,Decreasing
1013,Eumops hansae,Unknown
1014,Eumops glaucinus,Unknown
1015,Eumops dabbenei,Unknown
1016,Eumops bonariensis,Unknown
1017,Ectophylla alba,Decreasing
1018,Scleronycteris ega,Decreasing
1019,Macroglossus sobrinus,Stable
1020,Macroderma gigas,Decreasing
1021,Eidolon dupreanum,Decreasing
1022,Eidolon helvum,Decreasing
1023,Eudiscopus denticulus,Unknown
1024,Euderma maculatum,Stable
1025,Aethalops alecto,Unknown
1026,Cloeotis percivali,Unknown
1027,Barbastella leucomelas,Unknown
1028,Barbastella barbastellus,Decreasing
1029,Balantiopteryx plicata,Unknown
1030,Dyacopterus spadiceus,Decreasing
1031,Balantiopteryx io,Decreasing
1032,Balionycteris maculata,Unknown
1033,Coelops frithii,Decreasing
1034,Scotophilus dinganii,Unknown
1035,Scotophilus kuhlii,Stable
1036,Scotophilus heathii,Stable
1037,Macrotus californicus,Stable
1038,Scotophilus nigrita,Decreasing
1039,Macrotus waterhousii,Stable
1040,Scotophilus leucogaster,Unknown
1041,Scotophilus robustus,Unknown
1042,Scotophilus nux,Unknown
1043,Scotophilus viridis,Unknown
1044,Sturnira sorianoi,Unknown
1045,Natalus primus,Decreasing
1046,Carollia manu,Stable
1047,Dobsonia inermis,Stable
1048,Dobsonia praedatrix,Unknown
1049,Dobsonia viridis,Stable
1050,Myotis melanorhinus,Stable
1051,Dobsonia moluccensis,Stable
1052,Dobsonia emersa,Unknown
1053,Dobsonia chapmani,Decreasing
1054,Dobsonia pannietensis,Decreasing
1055,Dobsonia exoleta,Unknown
1056,Scotophilus marovaza,Unknown
1057,Dobsonia minor,Unknown
1058,Harpyionycteris celebensis,Decreasing
1059,Dobsonia beauforti,Unknown
1060,Dobsonia peronii,Stable
1061,Cheiromeles parvidens,Unknown
1062,Cynopterus luzoniensis,Stable
1063,Miniopterus petersoni,Unknown
1064,Cheiromeles torquatus,Unknown
1065,Peropteryx trinitatis,Unknown
1066,Miniopterus griveaudi,Unknown
1067,Hipposideros inornatus,Decreasing
1068,Pipistrellus hesperidus,Unknown
1069,Promops nasutus,Unknown
1070,Promops centralis,Unknown
1071,Eonycteris robusta,Decreasing
1072,Nyctalus furvus,Decreasing
1073,Lasiurus insularis,Unknown
1074,Tadarida insignis,Unknown
1075,Hylonycteris underwoodi,Stable
1076,Lonchophylla concava,Unknown
1077,Lonchophylla orcesi,Unknown
1078,Chiroderma doriae,Unknown
1079,Chiroderma improvisum,Unknown
1080,Chiroderma salvini,Stable
1081,Alionycteris paucidentata,Stable
1082,Chiroderma trinitatum,Unknown
1083,Chiroderma villosum,Stable
1084,Chironax melanocephalus,Decreasing
1085,Pteropus rennelli,Decreasing
1086,Lonchophylla dekeyseri,Decreasing
1087,Lonchophylla bokermanni,Unknown
1088,Lonchophylla robusta,Unknown
1089,Lonchophylla mordax,Unknown
1090,Myotis dieteri,Unknown
1091,Lonchophylla hesperia,Decreasing
1092,Lonchophylla handleyi,Unknown
1093,Lonchorhina marinkellei,Unknown
1094,Brachyphylla nana,Stable
1095,Lonchorhina fernandezi,Decreasing
1096,Scotophilus tandrefana,Unknown
1097,Brachyphylla cavernarum,Unknown
1098,Lonchorhina aurita,Stable
1099,Lonchophylla thomasi,Unknown
1100,Myotis macropus,Unknown
1101,Lasiurus varius,Unknown
1102,Diphylla ecaudata,Stable
1103,Triaenops persicus,Unknown
1104,Paratriaenops furculus,Unknown
1105,Nyctiellus lepidus,Unknown
1106,Paremballonura tiavato,Unknown
1107,Chilonatalus micropus,Decreasing
1108,Natalus stramineus,Unknown
1109,Chilonatalus tumidifrons,Unknown
1110,Lophostoma evotis,Stable
1111,Natalus tumidirostris,Unknown
1112,Lophostoma carrikeri,Decreasing
1113,Lophostoma silvicolum,Unknown
1114,Choeroniscus godmani,Unknown
1115,Lophostoma schulzi,Unknown
1116,Pteropus intermedius,Unknown
1117,Choeroniscus minor,Unknown
1118,Choeroniscus periosus,Unknown
1119,Choeronycteris mexicana,Unknown
1120,Chrotopterus auritus,Stable
1121,Nyctophilus nebulosus,Decreasing
1122,Trachops cirrhosus,Stable
1123,Rousettus aegyptiacus,Stable
1124,Eumops trumbulli,Unknown
1125,Nanonycteris veldkampii,Unknown
1126,Rhogeessa aeneus,Stable
1127,Natalus jamaicensis,Decreasing
1128,Eptesicus japonensis,Decreasing
1129,Neoromicia malagasyensis,Unknown
1130,Kerivoula titania,Unknown
1131,Nyctalus plancyi,Unknown
1132,Miniopterus shortridgei,Unknown
1133,Eumops patagonicus,Stable
1134,Harpyionycteris whiteheadi,Stable
1135,Scotophilus nucella,Unknown
1136,Harpiocephalus harpia,Decreasing
1137,Plecotus christii,Unknown
1138,Plecotus balensis,Unknown
1139,Histiotus humboldti,Unknown
1140,Lasiurus atratus,Unknown
1141,Miniopterus gleni,Unknown
1142,Myopterus whitleyi,Decreasing
1143,Myopterus daubentonii,Unknown
1144,Myonycteris torquata,Stable
1145,Myonycteris brachycephala,Decreasing
1146,Myonycteris relicta,Decreasing
1147,Neoromicia somalica,Unknown
1148,Neoromicia tenuipinnis,Unknown
1149,Neoromicia zuluensis,Unknown
1150,Neoromicia helios,Unknown
1151,Neoromicia melckorum,Unknown
1152,Neoromicia nana,Unknown
1153,Neoromicia rendalli,Unknown
1154,Uroderma magnirostrum,Stable
1155,Neoromicia brunnea,Decreasing
1156,Neoromicia capensis,Stable
1157,Neoromicia flavescens,Unknown
1158,Uroderma bilobatum,Stable
1159,Neoromicia guineensis,Unknown
1160,Sturnira lilium,Stable
1161,Sturnira magna,Stable
1162,Sturnira luisi,Unknown
1163,Myotis albescens,Stable
1164,Myotis altarium,Unknown
1165,Sturnira nana,Unknown
1166,Myotis annectans,Unknown
1167,Sturnira mordax,Stable
1168,Sturnira tildae,Stable
1169,Myotis atacamensis,Unknown
1170,Macronycteris vittatus,Decreasing
1171,Myotis emarginatus,Stable
1172,Myotis grisescens,Increasing
1173,Myotis myotis,Stable
1174,Sturnira bidens,Stable
1175,Sturnira aratathomasi,Unknown
1176,Myotis mystacinus,Unknown
1177,Myotis nattereri,Stable
1178,Sturnira erythromos,Stable
1179,Sturnira bogotensis,Stable
1180,Myotis sodalis,Stable
1181,Myotis blythii,Decreasing
1182,Myotis bechsteinii,Decreasing
1183,Myotis capaccinii,Decreasing
1184,Myotis dasycneme,Decreasing
1185,Penthetor lucasi,Decreasing
1186,Myotis keenii,Stable
1187,Myotis leibii,Decreasing
1188,Myotis insularum,Unknown
1189,Myotis keaysi,Unknown
1190,Myotis longipes,Unknown
1191,Myotis lucifugus,Decreasing
1192,Myotis goudoti,Unknown
1193,Myotis hasseltii,Unknown
1194,Myotis fortidens,Unknown
1195,Myotis ikonnikovi,Decreasing
1196,Myotis hermani,Unknown
1197,Myotis horsfieldii,Stable
1198,Lichonycteris obscura,Unknown
1199,Myotis dominicensis,Unknown
1200,Myotis cobanensis,Unknown
1201,Myotis ciliolabrum,Stable
1202,Vampyressa melissa,Stable
1203,Vampyriscus nymphaea,Unknown
1204,Myotis findleyi,Decreasing
1205,Myotis fimbriatus,Unknown
1206,Vampyriscus bidens,Unknown
1207,Myotis evotis,Stable
1208,Vampyriscus brocki,Unknown
1209,Vampyrum spectrum,Decreasing
1210,Myotis bocagii,Unknown
1211,Neoromicia matroka,Unknown
1212,Myotis austroriparius,Stable
1213,Vampyressa pusilla,Unknown
1214,Myotis australis,Unknown
1215,Tadarida latouchei,Decreasing
1216,Vampyrodes caraccioli,Unknown
1217,Myotis auriculus,Unknown
1218,Rhinolophus convexus,Unknown
1219,Myotis chinensis,Unknown
1220,Myotis chiloensis,Unknown
1221,Mops leucogaster,Unknown
1222,Miniopterus majori,Unknown
1223,Myotis californicus,Unknown
1224,Miniopterus manavi,Unknown
1225,Myotis bombinus,Decreasing
1226,Myotis schaubi,Unknown
1227,Rhinolophus beddomei,Stable
1228,Mops leucostigma,Unknown
1229,Myotis ruber,Unknown
1230,Myotis scotti,Unknown
1231,Nycteris madagascariensis,Unknown
1232,Myotis ridleyi,Decreasing
1233,Myotis pilosus,Decreasing
1234,Myotis rosseti,Unknown
1235,Myotis riparius,Stable
1236,Thainycteris aureocollaris,Unknown
1237,Myotis thysanodes,Stable
1238,Arielulus torquatus,Stable
1239,Myotis velifer,Stable
1240,Micronycteris sanborni,Unknown
1241,Myotis tricolor,Unknown
1242,Myotis sicarius,Unknown
1243,Lonchorhina inusitata,Unknown
1244,Micronycteris brosseti,Unknown
1245,Myotis septentrionalis,Decreasing
1246,Myotis simus,Unknown
1247,Paratriaenops auritus,Unknown
1248,Triaenops rufus,Unknown
1249,Myotis montivagus,Unknown
1250,Myotis morrisi,Unknown
1251,Myotis muricola,Stable
1252,Stenoderma rufum,Unknown
1253,Myotis nesopolus,Unknown
1254,Myotis macrodactylus,Unknown
1255,Myotis macrotarsus,Stable
1256,Pteralopex taki,Decreasing
1257,Myotis martiniquensis,Unknown
1258,Myotis peninsularis,Decreasing
1259,Murina ryukyuana,Decreasing
1260,Myotis pequinius,Unknown
1261,Myotis planiceps,Decreasing
1262,Myotis pruinosus,Unknown
1263,Myotis nigricans,Stable
1264,Myotis oreias,Unknown
1265,Myotis oxyotus,Unknown
1266,Myotis yanbarensis,Decreasing
1267,Rhinolophus maendeleo,Unknown
1268,Rhinolophus ruwenzorii,Decreasing
1269,Glauconycteris argentata,Unknown
1270,Glauconycteris alboguttata,Unknown
1271,Glauconycteris curryae,Unknown
1272,Myotis yumanensis,Stable
1273,Glauconycteris beatrix,Unknown
1274,Rhinolophus ziama,Decreasing
1275,Myotis welwitschii,Unknown
1276,Rhinolophus sakejiensis,Unknown
1277,Cistugo seabrae,Unknown
1278,Myotis vivesi,Decreasing
1279,Cistugo lesueuri,Decreasing
1280,Myotis volans,Stable
1281,Glauconycteris poensis,Unknown
1282,Glauconycteris machadoi,Unknown
1283,Glauconycteris variegata,Unknown
1284,Glauconycteris superba,Unknown
1285,Glauconycteris gleni,Unknown
1286,Glauconycteris egeria,Unknown
1287,Glauconycteris kenyacola,Unknown
1288,Glauconycteris humeralis,Unknown
1289,Mystacina robusta,Unknown
1290,Myotis csorbai,Unknown
1291,Amorphochilus schnablii,Stable
1292,Mirimiri acrodonta,Decreasing
1293,Pteralopex anceps,Decreasing
1294,Ptenochirus jagori,Stable
1295,Ptenochirus minor,Stable
1296,Vespertilio murinus,Stable
1297,Vespertilio sinensis,Unknown
1298,Hypsugo ariel,Unknown
1299,Pipistrellus anchietae,Unknown
1300,Hypsugo eisentrauti,Unknown
1301,Pipistrellus crassulus,Unknown
1302,Hypsugo savii,Stable
1303,Hypsugo musciculus,Unknown
1304,Craseonycteris thonglongyai,Decreasing
1305,Miniopterus africanus,Unknown
1306,Miniopterus natalensis,Unknown
1307,Myzopoda aurita,Unknown
1308,Myotis punicus,Unknown
1309,Myotis anjouanensis,Unknown
1310,Epomophorus crypturus,Unknown
1311,Lissonycteris angolensis,Decreasing
1312,Pteralopex atrata,Decreasing
1313,Sauromys petrophilus,Stable
1314,Nycteris parisii,Unknown
1315,Nycteris vinsoni,Unknown
1316,Macronycteris thomensis,Stable
1317,Platymops setiger,Unknown
1318,Macronycteris gigas,Unknown
1319,Mops condylurus,Unknown
1320,Mops brachypterus,Unknown
1321,Mops demonstrator,Decreasing
1322,Mops congicus,Unknown
1323,Hesperoptenus tickelli,Unknown
1324,Hesperoptenus tomesi,Decreasing
1325,Hesperoptenus doriae,Unknown
1326,Hesperoptenus blanfordi,Unknown
1327,Pteronotus quadridens,Stable
1328,Pteronotus gymnonotus,Stable
1329,Mops thersites,Stable
1330,Pteronotus davyi,Stable
1331,Mops trevori,Decreasing
1332,Pteronotus parnellii,Stable
1333,Pteronotus macleayii,Stable
1334,Pteropus brunneus,
1335,Mops niveiventer,Unknown
1336,Mops sarasinorum,Unknown
1337,Pteropus chrysoproctus,Decreasing
1338,Sphaeronycteris toxophyllum,Unknown
1339,Mops spurrelli,Unknown
1340,Pteropus caniceps,Decreasing
1341,Pteropus aldabrensis,Stable
1342,Mops midas,Decreasing
1343,Mops mops,Decreasing
1344,Pteropus admiralitatum,Stable
1345,Mops nanulus,Unknown
1346,Pteropus anetianus,Decreasing
1347,Pteropus alecto,Unknown
1348,Mops niangarae,Unknown
1349,Pteropus faunulus,Decreasing
1350,Pteropus fundatus,Unknown
1351,Pteropus conspicillatus,Decreasing
1352,Pteropus dasymallus,Decreasing
1353,Pteropus griseus,Decreasing
1354,Pteropus howensis,Decreasing
1355,Pteropus gilliardorum,Unknown
1356,Desmalopex leucopterus,Decreasing
1357,Pteropus livingstonii,Decreasing
1358,Pteropus hypomelanus,Decreasing
1359,Pteropus pelagicus,Decreasing
1360,Pteropus macrotis,Stable
1361,Pteropus mahaganus,Decreasing
1362,Pteropus lombocensis,Unknown
1363,Pteropus lylei,Decreasing
1364,Mormopterus kalinowskii,Unknown
1365,Pteropus melanopogon,Decreasing
1366,Mormopterus minutus,Decreasing
1367,Mormopterus doriae,Unknown
1368,Pteropus mariannus,Decreasing
1369,Mormopterus jugularis,Unknown
1370,Mormopterus phrudus,Unknown
