,Host,populationTrend
561,Petrogale brachyotis,Unknown
562,Petrogale assimilis,Stable
563,Petrogale rothschildi,Unknown
564,Petrogale concinna,Decreasing
565,Petrogale sharmani,Unknown
566,Petrogale coenensis,Decreasing
567,Petrogale lateralis,Decreasing
568,Petrogale xanthopus,Unknown
569,Petrogale purpureicollis,Decreasing
570,Petrogale persephone,Decreasing
571,Petrogale penicillata,Decreasing
572,Petrogale burbidgei,Unknown
573,Lagostrophus fasciatus,Stable
574,Dendrolagus mbaiso,Decreasing
575,Dendrolagus spadix,Decreasing
576,Dendrolagus scottae,Stable
577,Dendrolagus ursinus,Decreasing
578,Dendrolagus matschiei,Decreasing
579,Dendrolagus mayri,Unknown
580,Dendrolagus stellarum,Decreasing
581,Dendrolagus notatus,Decreasing
582,Dendrolagus bennettianus,Stable
583,Dendrolagus pulcherrimus,Stable
584,Dendrolagus dorianus,Decreasing
585,Dendrolagus goodfellowi,Decreasing
586,Dendrolagus inustus,Decreasing
587,Dendrolagus lumholtzi,Unknown
588,Onychogalea lunata,
589,Onychogalea unguifera,Unknown
590,Onychogalea fraenata,Stable
591,Thylogale stigmatica,Decreasing
592,Thylogale lanatus,Decreasing
593,Thylogale thetis,Stable
594,Thylogale browni,Decreasing
595,Thylogale billardierii,Stable
596,Thylogale calabyi,Decreasing
597,Thylogale brunii,Decreasing
598,Tarsipes rostratus,Stable
599,Vombatus ursinus,Stable
600,Lasiorhinus krefftii,Stable
601,Lasiorhinus latifrons,Decreasing
602,Petaurus abidi,Decreasing
603,Petaurus norfolcensis,Decreasing
604,Petaurus gracilis,Decreasing
605,Petaurus australis,Decreasing
606,Petaurus biacensis,Unknown
607,Petaurus breviceps,Stable
608,Dactylonax palpator,Unknown
609,Gymnobelideus leadbeateri,Decreasing
610,Dactylopsila trivirgata,Decreasing
611,Dactylopsila tatei,Unknown
612,Dactylopsila megalura,Unknown
613,Potorous platyops,
614,Potorous gilbertii,Decreasing
615,Bettongia pusilla,
616,Bettongia gaimardi,Unknown
617,Bettongia lesueur,Increasing
