Host,redlistCategory,NVirion,NZoon,Nvirion,Nzoon
dasyprocta kalinowskii,Data Deficient,0,0,0,0
dasyprocta variegata,Data Deficient,0,0,0,0
dasypus pilosus,Data Deficient,0,0,0,0
dasypus yepesi,Data Deficient,0,0,0,0
dendrogale melanura,Data Deficient,0,0,0,0
dendromus lachaisei,Data Deficient,0,0,0,0
dendromus ruppi,Data Deficient,0,0,0,0
dendromus vernayi,Data Deficient,0,0,0,0
dendroprionomys rousseloti,Data Deficient,0,0,0,0
dermanura rosenbergi,Data Deficient,0,0,0,0
diclidurus ingens,Data Deficient,0,0,0,0
dicrostonyx unalascensis,Data Deficient,0,0,0,0
dicrostonyx vinogradovi,Data Deficient,0,0,0,0
diomys crumpi,Data Deficient,0,0,0,0
diplomys caniceps,Data Deficient,0,0,0,0
dologale dybowskii,Data Deficient,0,0,0,0
dremomys gularis,Data Deficient,0,0,0,0
dryadonycteris capixaba,Data Deficient,0,0,0,0
dryomys laniger,Data Deficient,0.30103,0.30103,1,1
echimys saturnus,Data Deficient,0,0,0,0
echimys vieirai,Data Deficient,0,0,0,0
echymipera echinista,Data Deficient,0,0,0,0
elephantulus fuscipes,Data Deficient,0,0,0,0
elephantulus fuscus,Data Deficient,0,0,0,0
elephantulus pilicaudus,Data Deficient,0,0,0,0
elephantulus revoilii,Data Deficient,0,0,0,0
eliurus antsingy,Data Deficient,0,0,0,0
eliurus ellermani,Data Deficient,0,0,0,0
ellobius alaicus,Data Deficient,0,0,0,0
eothenomys proditor,Data Deficient,0,0,0,0
epomophorus anselli,Data Deficient,0,0,0,0
epomophorus grandis,Data Deficient,0,0,0,0
eptesicus bobrinskoi,Data Deficient,0,0,0,0
eptesicus dimissus,Data Deficient,0,0,0,0
eptesicus kobayashii,Data Deficient,0,0,0,0
eptesicus lobatus,Data Deficient,0,0,0,0
eptesicus platyops,Data Deficient,0,0,0,0
eptesicus taddeii,Data Deficient,0,0,0,0
eptesicus tatei,Data Deficient,0,0,0,0
eremoryzomys polius,Data Deficient,0,0,0,0
erythrocebus poliophaeus,Data Deficient,0,0,0,0
eumops delticus,Data Deficient,0,0,0,0
eumops maurus,Data Deficient,0,0,0,0
eumops wilsoni,Data Deficient,0,0,0,0
euneomys chinchilloides,Data Deficient,0,0,0,0
euneomys fossor,Data Deficient,0,0,0,0
euroscaptor parvidens,Data Deficient,0,0,0,0
euroscaptor subanura,Data Deficient,0,0,0,0
euryoryzomys emmonsae,Data Deficient,0,0,0,0
exilisciurus exilis,Data Deficient,0,0,0,0
falsistrellus mordax,Data Deficient,0,0,0,0
falsistrellus petersi,Data Deficient,0,0,0,0
fukomys foxi,Data Deficient,0,0,0,0
fukomys ilariae,Data Deficient,0,0,0,0
fukomys vandewoestijneae,Data Deficient,0,0,0,0
funisciurus bayonii,Data Deficient,0,0,0,0
funisciurus duchaillui,Data Deficient,0,0,0,0
funisciurus substriatus,Data Deficient,0,0,0,0
galea comes,Data Deficient,0,0,0,0
galea musteloides,Data Deficient,0,0,0,0
galenomys garleppi,Data Deficient,0,0,0,0
gardnerycteris koepckeae,Data Deficient,0,0,0,0
genetta abyssinica,Data Deficient,0,0,0,0
genetta poensis,Data Deficient,0,0,0,0
gerbillus acticola,Data Deficient,0,0,0,0
gerbillus agag,Data Deficient,0,0,0,0
gerbillus bottai,Data Deficient,0,0,0,0
gerbillus brockmani,Data Deficient,0,0,0,0
gerbillus burtoni,Data Deficient,0,0,0,0
gerbillus cosensis,Data Deficient,0,0,0,0
gerbillus grobbeni,Data Deficient,0,0,0,0
gerbillus jamesi,Data Deficient,0,0,0,0
gerbillus latastei,Data Deficient,0,0,0,0
gerbillus lowei,Data Deficient,0,0,0,0
gerbillus muriculus,Data Deficient,0,0,0,0
gerbillus nancillus,Data Deficient,0,0,0,0
gerbillus occiduus,Data Deficient,0,0,0,0
gerbillus percivali,Data Deficient,0,0,0,0
gerbillus principulus,Data Deficient,0,0,0,0
gerbillus somalicus,Data Deficient,0,0,0,0
gerbillus stigmonyx,Data Deficient,0,0,0,0
glauconycteris curryae,Data Deficient,0,0,0,0
glauconycteris egeria,Data Deficient,0,0,0,0
glauconycteris gleni,Data Deficient,0,0,0,0
glauconycteris humeralis,Data Deficient,0,0,0,0
glauconycteris kenyacola,Data Deficient,0,0,0,0
glauconycteris machadoi,Data Deficient,0,0,0,0
glischropus javanus,Data Deficient,0,0,0,0
glyphonycteris behnii,Data Deficient,0,0,0,0
glyphotes simus,Data Deficient,0,0,0,0
gracilimus radix,Data Deficient,0,0,0,0
gracilinanus emiliae,Data Deficient,0,0,0,0
grammomys aridulus,Data Deficient,0,0,0,0
grammomys brevirostris,Data Deficient,0,0,0,0
grammomys buntingi,Data Deficient,0,0,0,0
grammomys caniceps,Data Deficient,0,0,0,0
graomys chacoensis,Data Deficient,0,0,0,0
graomys edithae,Data Deficient,0,0,0,0
graphiurus angolensis,Data Deficient,0,0,0,0
graphiurus crassicaudatus,Data Deficient,0,0,0,0
graphiurus johnstoni,Data Deficient,0,0,0,0
